asvs_id,chapter,section,level1,level2,level3,applicability,status,evidence,verification,owner,residual_risk
v4.0.3-V1.1.1,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.1.2,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.1.3,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.1.4,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.1.5,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.1.6,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.1.7,,Secure Software Development Lifecycle,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.2.1,,Authentication Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.2.2,,Authentication Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.2.3,,Authentication Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.2.4,,Authentication Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.4.1,,Access Control Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.4.2,,Access Control Architecture,,,,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.4.3,,Access Control Architecture,,,,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.4.4,,Access Control Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.4.5,,Access Control Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.5.1,,Input and Output Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.5.2,,Input and Output Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.5.3,,Input and Output Architecture,,✓,✓,applicable,partial,alert_bot_project/core_shared/schemas.py; bot/handlers/settings.py,Fuzz validation and invalid callback tests,Security owner (assign),Custom trigger parser still needs adversarial corpus review
v4.0.3-V1.5.4,,Input and Output Architecture,,✓,✓,applicable,partial,alert_bot_project/worker/broadcaster.py,test_source_context_is_html_escaped,Security owner (assign),Other Telegram HTML paths need review
v4.0.3-V1.6.1,,Cryptographic Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.6.2,,Cryptographic Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.6.3,,Cryptographic Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.6.4,,Cryptographic Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.7.1,,"Errors, Logging and Auditing Architecture",,✓,✓,applicable,partial,alert_bot_project/core_shared/logging_config.py,Review JSON log output,Security owner (assign),Cross-service correlation incomplete
v4.0.3-V1.7.2,,"Errors, Logging and Auditing Architecture",,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
v4.0.3-V1.8.1,,Data Protection and Privacy Architecture,,✓,✓,review,unverified,,Applicability and evidence review required,Security owner (assign),Control not yet demonstrated
