requirement_id,catalog_id,level,required_at_l2,chapter,section,applicable,status,rationale,evidence,owner_role,next_step
v5.0.0-1.1.1,V1.1.1,2,YES,V1,Encoding and Sanitization Architecture,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.1.2,V1.1.2,2,YES,V1,Encoding and Sanitization Architecture,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_broadcaster.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-1.2.1,V1.2.1,1,YES,V1,Injection Prevention,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.2.2,V1.2.2,1,YES,V1,Injection Prevention,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.2.3,V1.2.3,1,YES,V1,Injection Prevention,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.2.4,V1.2.4,1,YES,V1,Injection Prevention,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_crud.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-1.2.5,V1.2.5,1,YES,V1,Injection Prevention,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.2.6,V1.2.6,2,YES,V1,Injection Prevention,NO,N/A,"No LDAP, XPath, LaTeX or spreadsheet export interpreter in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.2.7,V1.2.7,2,YES,V1,Injection Prevention,NO,N/A,"No LDAP, XPath, LaTeX or spreadsheet export interpreter in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.2.8,V1.2.8,2,YES,V1,Injection Prevention,NO,N/A,"No LDAP, XPath, LaTeX or spreadsheet export interpreter in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.2.9,V1.2.9,2,YES,V1,Injection Prevention,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_custom_matcher.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
v5.0.0-1.2.10,V1.2.10,3,NO,V1,Injection Prevention,NO,N/A,"No LDAP, XPath, LaTeX or spreadsheet export interpreter in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.1,V1.3.1,1,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.2,V1.3.2,1,YES,V1,Sanitization,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.3.3,V1.3.3,2,YES,V1,Sanitization,REVIEW_REQUIRED,UNTESTED,Requirement-specific independent assessment is pending; no full compliance claim.,docs/asvs_assurance.md,Security maintainer,Review applicability and attach reproducible acceptance evidence.
v5.0.0-1.3.4,V1.3.4,2,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.5,V1.3.5,2,YES,V1,Sanitization,NO,N/A,"No WYSIWYG, SVG, expression templates, JNDI, memcache or mail processing in bot scope.",docs/asvs_assurance.md,Security maintainer,Reassess if the application adds this feature or expands scope.
v5.0.0-1.3.6,V1.3.6,2,YES,V1,Sanitization,YES,PARTIAL,Referenced code/tests verify a bounded subset; independent whole-requirement review and runtime checks remain.,tests/test_audit_regressions.py;docs/asvs_assurance.md,Security maintainer,Run referenced checks and assess the remaining requirement scope independently.
